review_id,rating,review
Ci9DQUlRQUNvZENodHljRjlvT21zMFNsOVlSbWhaYjFZMk1WOTFhbFZLT1ZvMGRtYxAB,5,Bekerja
Ci9DQUlRQUNvZENodHljRjlvT2w4ME5rVkRSMjlMWDNWSlNISTNRbm96UjBaZmJGRRAB,5,Nasywa noveliaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2pkbGVGZGtaWFExYkc0NFdEZERabmxJZGpOeFVrRRAB,5,BekerjaLayanan: 1Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT210eGVtVTBjMHg1VkhRMFdFOXRkekV5ZUVWSlZXYxAB,5,asa yg baik hatiKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2kxd0xUUm1lVlUzWVdOa1luRXRaVGhRUTFSblluYxAB,5,BekerjaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2paaVpraGZOeTF3WTFSUVJtcDFiRmxNVFdSdlFtYxAB,5,pelayanan mba Asa sangat membantuKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT25vMmJWaHJXakk1YlZac1lXY3daa2huZDFSSVkxRRAB,5,"Icha Keren,ramah,friendlyJenis perjalananBisnisGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 5KamarKamar nya nyamanAktivitas di sekitarTenangSorotan hotelMewah, Pemandangan yang indah, Romantis, Tenang, Cocok untuk anak-anak, Harga terbaik, Berteknologi tinggi"
Ci9DQUlRQUNvZENodHljRjlvT25kSFdIZ3RTRzFpWVRCVmR6UnRUVzkyU3pRMWExRRAB,5,"Kamar nyaman dan indah, keramahan yang luar biasa.. Direkomendasikan.Jenis perjalananBisnisGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah"
Ci9DQUlRQUNvZENodHljRjlvT21Kc01rNDNkSEpOV1c1S1YyWklVa0pGU0daWmJGRRAB,4,Pengalaman baru merasakan masakan sapi yang pas di lidahJenis perjalananBisnisGrup perjalananTunggalKamar: 5Layanan: 4Lokasi: 4KamarKamarnya enakAktivitas di sekitarAsriKeamananBaikArea untuk berjalan kakiBaikMakanan & minumanEnakDetail pentingPertahankan dan update selaluSorotan hotelMewah
Ci9DQUlRQUNvZENodHljRjlvT210RE9VZFJVMEV3UkdSU1ZtcFJNbEp4YUVkaVoyYxAB,5,menarik dan berkesanKamar: 5Layanan: 5Lokasi: 5
